name,function,qualified
Müller Anna,Suite1,1
Müller Anna,Suite2,1
Müller Anna,Suite3,1
Müller Anna,Outpatient,1
Müller Anna,Ward,1
Müller Anna,Hepatology,1
Keller Tobias,Suite1,1
Keller Tobias,Suite2,1
Keller Tobias,Suite3,1
Keller Tobias,Outpatient,1
Keller Tobias,Ward,1
Keller Tobias,Hepatology,1
Baumann Sara,Suite1,1
Baumann Sara,Suite2,1
Baumann Sara,Suite3,1
Baumann Sara,Outpatient,1
Baumann Sara,Ward,1
Baumann Sara,Hepatology,1
Zimmermann Elias,Suite1,1
Zimmermann Elias,Suite2,1
Zimmermann Elias,Suite3,1
Zimmermann Elias,Outpatient,1
Zimmermann Elias,Ward,1
Zimmermann Elias,Hepatology,1
Frei Nina,Suite1,1
Frei Nina,Suite2,1
Frei Nina,Suite3,0
Frei Nina,Outpatient,1
Frei Nina,Ward,1
Frei Nina,Hepatology,1
Meier Jonas,Suite1,1
Meier Jonas,Suite2,1
Meier Jonas,Suite3,0
Meier Jonas,Outpatient,1
Meier Jonas,Ward,1
Meier Jonas,Hepatology,1
Steiner Lea,Suite1,1
Steiner Lea,Suite2,1
Steiner Lea,Suite3,0
Steiner Lea,Outpatient,1
Steiner Lea,Ward,1
Steiner Lea,Hepatology,1
Weber Simon,Suite1,1
Weber Simon,Suite2,1
Weber Simon,Suite3,0
Weber Simon,Outpatient,1
Weber Simon,Ward,1
Weber Simon,Hepatology,1
Huber Mia,Suite1,1
Huber Mia,Suite2,1
Huber Mia,Suite3,0
Huber Mia,Outpatient,1
Huber Mia,Ward,1
Huber Mia,Hepatology,1
Schneider Noah,Suite1,1
Schneider Noah,Suite2,1
Schneider Noah,Suite3,0
Schneider Noah,Outpatient,1
Schneider Noah,Ward,1
Schneider Noah,Hepatology,1
Fischer Laura,Suite1,1
Fischer Laura,Suite2,1
Fischer Laura,Suite3,0
Fischer Laura,Outpatient,1
Fischer Laura,Ward,1
Fischer Laura,Hepatology,1
Graf David,Suite1,1
Graf David,Suite2,1
Graf David,Suite3,0
Graf David,Outpatient,1
Graf David,Ward,1
Graf David,Hepatology,1
Brunner Julia,Suite1,1
Brunner Julia,Suite2,0
Brunner Julia,Suite3,0
Brunner Julia,Outpatient,1
Brunner Julia,Ward,1
Brunner Julia,Hepatology,1
Vogel Marco,Suite1,1
Vogel Marco,Suite2,0
Vogel Marco,Suite3,0
Vogel Marco,Outpatient,1
Vogel Marco,Ward,1
Vogel Marco,Hepatology,1
